service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
521_1_1,0,0,0,0,0,0,0,20220206,20220312
40_1_1,0,0,0,0,0,0,0,20220206,20220312
126_1,0,0,0,0,0,0,0,20220206,20220312
119_1,0,0,0,0,0,0,0,20220206,20220312
29_3_1,0,0,0,0,0,0,0,20220206,20220312
507_1_1,0,0,0,0,0,0,0,20220206,20220312
120_1,0,0,0,0,0,0,0,20220206,20220312
614_1,0,0,0,0,0,0,0,20220206,20220312
318_1_1,0,0,0,0,0,0,0,20220206,20220312
214_1,0,0,0,0,0,0,0,20220206,20220312
312_1,0,0,0,0,0,0,0,20220206,20220312
87_1,0,0,0,0,0,0,0,20220206,20220312
307_1,0,0,0,0,0,0,0,20220206,20220312
208_1_1,0,0,0,0,0,0,0,20220206,20220312
1002_2_1,0,0,0,0,0,0,0,20220206,20220312
34_1,0,0,0,0,0,0,0,20220206,20220312
3192_1,0,0,0,0,0,0,0,20220206,20220312
322_2_1,0,0,0,0,0,0,0,20220206,20220312
410_1_1,0,0,0,0,0,0,0,20220206,20220312
124_1,0,0,0,0,0,0,0,20220206,20220312
403_2_1,0,0,0,0,0,0,0,20220206,20220312
408_1_1,0,0,0,0,0,0,0,20220206,20220312
21_3_1,0,0,0,0,0,0,0,20220206,20220312
57_1,0,0,0,0,0,0,0,20220206,20220312
218_1,0,0,0,0,0,0,0,20220206,20220312
72_1,0,0,0,0,0,0,0,20220206,20220312
302_2_1,0,0,0,0,0,0,0,20220206,20220312
402_2_1,0,0,0,0,0,0,0,20220206,20220312
127_1,0,0,0,0,0,0,0,20220206,20220312
1002_1_1,0,0,0,0,0,0,0,20220206,20220312
212_2_1,0,0,0,0,0,0,0,20220206,20220312
307_3_1,0,0,0,0,0,0,0,20220206,20220312
3382_1,0,0,0,0,0,0,0,20220206,20220312
112_3_1,0,0,0,0,0,0,0,20220206,20220312
205_2_1,0,0,0,0,0,0,0,20220206,20220312
145_1,0,0,0,0,0,0,0,20220206,20220312
3132_1,0,0,0,0,0,0,0,20220206,20220312
104_1_1,0,0,0,0,0,0,0,20220206,20220312
106_2_1,0,0,0,0,0,0,0,20220206,20220312
58_1,0,0,0,0,0,0,0,20220206,20220312
407_1,0,0,0,0,0,0,0,20220206,20220312
108_2_1,0,0,0,0,0,0,0,20220206,20220312
13_1,0,0,0,0,0,0,0,20220206,20220312
222_1,0,0,0,0,0,0,0,20220206,20220312
35_1,0,0,0,0,0,0,0,20220206,20220312
43_1,0,0,0,0,0,0,0,20220206,20220312
18_1,0,0,0,0,0,0,0,20220206,20220312
213_1_1,0,0,0,0,0,0,0,20220206,20220312
902_1,0,0,0,0,0,0,0,20220206,20220312
115_1,0,0,0,0,0,0,0,20220206,20220312
124_1_1,0,0,0,0,0,0,0,20220206,20220312
15_1_1,0,0,0,0,0,0,0,20220206,20220312
3181_1,0,0,0,0,0,0,0,20220206,20220312
3011_1,0,0,0,0,0,0,0,20220206,20220312
13_3_1,0,0,0,0,0,0,0,20220206,20220312
3062_1,0,0,0,0,0,0,0,20220206,20220312
24_2_1,0,0,0,0,0,0,0,20220206,20220312
415_2_1,0,0,0,0,0,0,0,20220206,20220312
8_3_1,0,0,0,0,0,0,0,20220206,20220312
74_1,0,0,0,0,0,0,0,20220206,20220312
21_1_1,0,0,0,0,0,0,0,20220206,20220312
86_1,0,0,0,0,0,0,0,20220206,20220312
117_2_1,0,0,0,0,0,0,0,20220206,20220312
509_1_1,0,0,0,0,0,0,0,20220206,20220312
203_5_1,0,0,0,0,0,0,0,20220206,20220312
501_2_1,0,0,0,0,0,0,0,20220206,20220312
9_1_1,0,0,0,0,0,0,0,20220206,20220312
112_1_1,0,0,0,0,0,0,0,20220206,20220312
424_1,0,0,0,0,0,0,0,20220206,20220312
7_2_1,0,0,0,0,0,0,0,20220206,20220312
1041_1,0,0,0,0,0,0,0,20220206,20220312
83_1,0,0,0,0,0,0,0,20220206,20220312
408_2_1,0,0,0,0,0,0,0,20220206,20220312
411_1,0,0,0,0,0,0,0,20220206,20220312
115_1_1,0,0,0,0,0,0,0,20220206,20220312
4_1_1,0,0,0,0,0,0,0,20220206,20220312
25_1_1,0,0,0,0,0,0,0,20220206,20220312
303_2_1,0,0,0,0,0,0,0,20220206,20220312
202_4_1,0,0,0,0,0,0,0,20220206,20220312
29_2_1,0,0,0,0,0,0,0,20220206,20220312
604_1_1,0,0,0,0,0,0,0,20220206,20220312
2011_1,0,0,0,0,0,0,0,20220206,20220312
4_3_1,0,0,0,0,0,0,0,20220206,20220312
2091_1,0,0,0,0,0,0,0,20220206,20220312
504_1_1,0,0,0,0,0,0,0,20220206,20220312
2112_1,0,0,0,0,0,0,0,20220206,20220312
Rail SaSu+Hol-Xmas (WRL)_1,0,0,0,0,0,0,0,20220206,20220312
110_1,0,0,0,0,0,0,0,20220206,20220312
