route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,etm_id
30,202_2,3__1__428__NBM__202__2__202__2,,1,,[@360.0.6959122@]1,,2,428
830,200_3,83__0__407__NBM__200__3__200__3,,0,,[@364.0.23226528@]83:382#12651#12715,,2,407
1200,416_2,120__0__425__TZM__416__2__416__2,,0,,[@364.0.17527449@]1,,2,425
9,CCL Su+Hol-Xmas,CCL__0__10522__WCCL__CCL_Su+Hol-Xmas,,0,,[@6.0.98043685@]CCL:859#24732#24734,,2,10522
9,CCL Su+Hol-Xmas,CCL__1__10616__WCCL__CCL_Su+Hol-Xmas,,1,,[@6.0.98043685@]CCL:857#24726#24728,,2,10616
20,2_1,2__1__444__NBM__2__1__2__1,,1,,[@364.0.23226994@]10,,2,444
350,24_2,35__0__105__NBM__24__2__24__2,,0,,[@364.0.23225756@]2,,2,105
30,8,3__1__798__NBM__8__8,,1,,[@360.0.6959122@]1,,2,798
230,210_4,23__1__718__TZM__210__4__210__4,,1,,[@364.0.17529510@]1,,2,718
2610,4_4,261__0__117__UZM__4__4__4__4,,0,,[@366.0.28965564@]1,,2,117
2200,301_5,220__0__711__TZM__301__5__301__5,,0,,[@356.0.45924825@]3,,2,711
240,101,24__1__718__TZM__101__101,,1,,[@364.0.17528180@]1,,2,718
360,39_2,36__1__112__NBM__39__2__39__2,,1,,[@360.0.75332042@]1,,2,112
6,Rail Su+Hol (JVL),JVL__0__9342__RAIL__Rail_Su+Hol_(JVL),,0,,[@6.0.20608239@]JVL:803#24333#24340,,2,9342
1200,422_2,120__1__134__TZM__422__2__422__2,,1,,[@364.0.17527449@]2,,2,134
2,Rail SaSu+Hol,KPL__1__6453__RAIL__Rail_SaSu+Hol,,1,,[@6.0.20608271@]KPL:807#24379#24391,,2,6453
520,2112,52__1__434__MNM__2112__2112,,1,,[@360.0.6959370@]52:307#10264#10319,,2,434
1100,506_3,110__0__749__TZM__506__3__506__3,,0,,[@356.0.42935074@]3,,2,749
2610,1113_1,261__1__714__UZM__1113__1__1113__1,,1,,[@366.0.28965564@]2,,2,714
1100,510_2,110__0__475__TZM__510__2__510__2,,0,,[@356.0.42935074@]3,,2,475
220,30_2,22__1__428__NBM__30__2__30__2,,1,,[@364.0.23227132@]5,,2,428
9,CCL MTuWThF-XHol,CCL__0__10667__WCCL__CCL_MTuWThF-XHol,,0,,[@6.0.98043685@]CCL:859#24732#24734,,2,10667
6,Rail Sa,JVL__1__9347__RAIL__Rail_Sa,,1,,[@6.0.20608239@]JVL:801#24315#24322,,2,9347
830,31,83__0__709__NBM__31__31,,0,,[@364.0.23226528@]83:382#12651#12715,,2,709
2200,302_4,220__1__442__TZM__302__4__302__4,,1,,[@356.0.45924825@]2,,2,442
6,Rail MTuWThF-XHol,JVL__0__9252__RAIL__Rail_MTuWThF-XHol,,0,,[@6.0.20608239@]JVL:803#24333#24340,,2,9252
2000,703_1,200__0__111__TZM__703__1__703__1,,0,,[@356.0.69435742@]1,,2,111
2200,305_8,220__0__412__TZM__305__8__305__8,,0,,[@356.0.45924825@]1,,2,412
1200,415_4,120__1__466__TZM__415__4__415__4,,1,,[@364.0.17527449@]2,,2,466
120,9,12__1__714__NBM__9__9,,1,,[@364.0.23227021@]1,,2,714
70,210_4,7__0__741__TZM__210__4__210__4,,0,,[@364.0.17528115@]2,,2,741
2620,1115_1,262__1__716__UZM__1115__1__1115__1,,1,,[@366.0.28965575@]2,,2,716
6,Rail MTuWThF-XHol,JVL__0__9278__RAIL__Rail_MTuWThF-XHol,,0,,[@6.0.20608239@]JVL:803#24333#24340,,2,9278
2360,304_5,236__0__425__TZM__304__5__304__5,,0,,[@356.0.45924880@]236:670#21452#21487,,2,425
2810,3_3,281__0__105__UZM__3__3__3__3,,0,,[@364.0.10228169@]1,,2,105
2,Rail MTuWThF-XHol,KPL__0__6240__RAIL__Rail_MTuWThF-XHol,,0,,[@6.0.20608271@]KPL:820#24487#24499,,2,6240
120,13_1,12__1__428__NBM__13__1__13__1,,1,,[@364.0.23227021@]1,,2,428
250,111_8,25__1__406__TZM__111__8__111__8,,1,,[@6.0.22281071@]2,,2,406
520,1031,52__0__707__MNM__1031__1031,,0,,[@360.0.6959370@]2,,2,707
1100,503_4,110__0__417__TZM__503__4__503__4,,0,,[@356.0.42935074@]3,,2,417
2610,10_4,261__1__138__UZM__10__4__10__4,,1,,[@366.0.28965564@]2,,2,138
1200,407_7,120__0__209__TZM__407__7__407__7,,0,,[@364.0.17527449@]1,,2,209
1200,409_5,120__0__113__TZM__409__5__409__5,,0,,[@364.0.17527449@]1,,2,113
7,8092,AX__1__896__MNM__8092__8092,,1,,[@366.0.7673003@]2,,2,896
20,32_1,2__1__456__NBM__32__1__32__1,,1,,[@364.0.23226994@]10,,2,456
170,105_8,17__1__422__TZM__105__8__105__8,,1,,[@364.0.17529728@]1,,2,422
140,19,14__0__701__NBM__19__19,,0,,[@364.0.23225636@]2,,2,701
70,108_4,7__0__423__TZM__108__4__108__4,,0,,[@364.0.17528115@]2,,2,423
2620,10_4,262__0__123__UZM__10__4__10__4,,0,,[@366.0.28965575@]1,,2,123
1500,428_1,150__0__113__TZM__428__1__428__1,,0,,[@6.0.21845698@]3,,2,113
2500,1106,250__0__719__UZM__1106__1106,,0,,[@366.0.28965531@]1,,2,719
